phase,url,user_agent,status,verification,training_policy
"after","https://kujo.robertdevore.com/robots.txt","Googlebot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/sitemap.xml","Googlebot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/","Googlebot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/course/record-and-replay/","Googlebot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/robots.txt","bingbot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/sitemap.xml","bingbot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/","bingbot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/course/record-and-replay/","bingbot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/robots.txt","OAI-SearchBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/sitemap.xml","OAI-SearchBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/","OAI-SearchBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/course/record-and-replay/","OAI-SearchBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/robots.txt","ChatGPT-User","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/sitemap.xml","ChatGPT-User","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/","ChatGPT-User","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/course/record-and-replay/","ChatGPT-User","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/robots.txt","GPTBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/sitemap.xml","GPTBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/","GPTBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/course/record-and-replay/","GPTBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/robots.txt","Claude-SearchBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/sitemap.xml","Claude-SearchBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/","Claude-SearchBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/course/record-and-replay/","Claude-SearchBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/robots.txt","PerplexityBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/sitemap.xml","PerplexityBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/","PerplexityBot","200","User-agent probe only; not verified crawler IP access","unchanged"
"after","https://kujo.robertdevore.com/course/record-and-replay/","PerplexityBot","200","User-agent probe only; not verified crawler IP access","unchanged"
