phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action,internal
"after","https://kujo.robertdevore.com/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/what-is-kujo/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/what-is-kujo/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/what-is-kujo/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/what-is-kujo/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/setup-and-cli/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/setup-and-cli/","https://github.com/kujolang/kujo/releases/tag/v1.3.1","the 1.3.1 release","HTML anchor","200","https://github.com/kujolang/kujo/releases/tag/v1.3.1","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/setup-and-cli/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/setup-and-cli/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/setup-and-cli/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/bindings-and-mutability/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/bindings-and-mutability/","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","Source contract","HTML anchor","200","https://github.com/kujolang/kujo/blob/v1.3.1/docs/LANGUAGE_SPEC.md","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/bindings-and-mutability/","https://github.com/robertdevore/kujo.robertdevore.com","Source","HTML anchor","200","https://github.com/robertdevore/kujo.robertdevore.com","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/bindings-and-mutability/","https://robertdevore.com/","Robert DeVore ↗","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
"after","https://kujo.robertdevore.com/course/values-and-truthiness/","https://robertdevore.com/","Robert DeVore","HTML anchor","200","https://robertdevore.com/","","reachable","","retain","false"
