phase,url,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,sitemap_included,sitemap_lastmod,reason,status
"baseline","https://kujo.robertdevore.com/","","","true","","https://kujo.robertdevore.com/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/","","","true","","https://kujo.robertdevore.com/course/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/what-is-kujo/","","","true","","https://kujo.robertdevore.com/course/what-is-kujo/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/setup-and-cli/","","","true","","https://kujo.robertdevore.com/course/setup-and-cli/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/bindings-and-mutability/","","","true","","https://kujo.robertdevore.com/course/bindings-and-mutability/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/values-and-truthiness/","","","true","","https://kujo.robertdevore.com/course/values-and-truthiness/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/control-flow/","","","true","","https://kujo.robertdevore.com/course/control-flow/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/functions/","","","true","","https://kujo.robertdevore.com/course/functions/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/collections-and-pipelines/","","","true","","https://kujo.robertdevore.com/course/collections-and-pipelines/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/scope-and-capture/","","","true","","https://kujo.robertdevore.com/course/scope-and-capture/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/structs-and-enums/","","","true","","https://kujo.robertdevore.com/course/structs-and-enums/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/match-result-option/","","","true","","https://kujo.robertdevore.com/course/match-result-option/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/exceptions/","","","true","","https://kujo.robertdevore.com/course/exceptions/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/optional-typing/","","","true","","https://kujo.robertdevore.com/course/optional-typing/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/async-and-await/","","","true","","https://kujo.robertdevore.com/course/async-and-await/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/bounded-concurrency/","","","true","","https://kujo.robertdevore.com/course/bounded-concurrency/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/modules/","","","true","","https://kujo.robertdevore.com/course/modules/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/projects-and-lockfiles/","","","true","","https://kujo.robertdevore.com/course/projects-and-lockfiles/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/standard-library/","","","true","","https://kujo.robertdevore.com/course/standard-library/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/testing/","","","true","","https://kujo.robertdevore.com/course/testing/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/machine-contracts/","","","true","","https://kujo.robertdevore.com/course/machine-contracts/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/documentation/","","","true","","https://kujo.robertdevore.com/course/documentation/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/editor-and-lsp/","","","true","","https://kujo.robertdevore.com/course/editor-and-lsp/","","true","","","200"
"baseline","https://kujo.robertdevore.com/course/filesystem/","","","true","","https://kujo.robertdevore.com/course/filesystem/","","true","","","200"
