phase,url,schema_types,json_ld_blocks,valid_json,visible_match,rich_result_eligible,issues,recommended_action,types,parse_valid,purpose_aligned,rich_result_eligibility
"baseline","https://kujo.robertdevore.com/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/what-is-kujo/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/setup-and-cli/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/bindings-and-mutability/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/values-and-truthiness/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/control-flow/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/functions/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/collections-and-pipelines/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/scope-and-capture/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/structs-and-enums/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/match-result-option/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/exceptions/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/optional-typing/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/async-and-await/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/bounded-concurrency/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/modules/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/projects-and-lockfiles/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/standard-library/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/testing/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/machine-contracts/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/documentation/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/editor-and-lsp/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/filesystem/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/processes/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/data-and-persistence/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/capability-security/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/secret-boundaries/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/ai-effects-and-messages/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/request-identity/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/record-and-replay/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/streaming/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/structured-outputs/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/context-and-vectors/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/tool-loops/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/mechanism-and-policy/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/loop-engineering/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/evaluation/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/evidence-and-handoffs/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/isolation-and-observability/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/course/mcp-interoperability/","","","","","","","","LearningResource","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/build-1/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/build-2/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/build-3/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/build-4/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/build-5/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/build-6/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/capstone/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/explorer/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/about/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
"baseline","https://kujo.robertdevore.com/evidence/","","","","","","","","LearningResource","true","false","Not established; Schema.org semantics are distinct from Google eligibility"
