phase,url,page_depth,internal_inbound_links,internal_outbound_links,external_outbound_links,orphan,pages_over_three_clicks,broken_internal_links,redirect_chain,crawlable_html_links,issues,depth,inbound
"after","https://kujo.robertdevore.com/","","","","","false","","","","","","0","156"
"after","https://kujo.robertdevore.com/course/","","","","","false","","","","","","1","100"
"after","https://kujo.robertdevore.com/course/what-is-kujo/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/setup-and-cli/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/bindings-and-mutability/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/values-and-truthiness/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/control-flow/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/functions/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/collections-and-pipelines/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/scope-and-capture/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/structs-and-enums/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/match-result-option/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/exceptions/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/optional-typing/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/async-and-await/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/bounded-concurrency/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/modules/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/projects-and-lockfiles/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/standard-library/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/testing/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/machine-contracts/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/documentation/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/editor-and-lsp/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/filesystem/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/processes/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/http-and-networking/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/data-and-persistence/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/capability-security/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/secret-boundaries/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/ai-effects-and-messages/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/request-identity/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/record-and-replay/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/streaming/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/structured-outputs/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/context-and-vectors/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/tool-loops/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/mechanism-and-policy/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/loop-engineering/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/evaluation/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/evidence-and-handoffs/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/isolation-and-observability/","","","","","false","","","","","","1","45"
"after","https://kujo.robertdevore.com/course/mcp-interoperability/","","","","","false","","","","","","1","44"
"after","https://kujo.robertdevore.com/build-1/","","","","","false","","","","","","1","44"
"after","https://kujo.robertdevore.com/build-2/","","","","","false","","","","","","1","44"
"after","https://kujo.robertdevore.com/build-3/","","","","","false","","","","","","1","44"
"after","https://kujo.robertdevore.com/build-4/","","","","","false","","","","","","1","44"
"after","https://kujo.robertdevore.com/build-5/","","","","","false","","","","","","1","44"
"after","https://kujo.robertdevore.com/build-6/","","","","","false","","","","","","1","44"
"after","https://kujo.robertdevore.com/capstone/","","","","","false","","","","","","1","43"
"after","https://kujo.robertdevore.com/explorer/","","","","","false","","","","","","1","53"
"after","https://kujo.robertdevore.com/about/","","","","","false","","","","","","1","53"
"after","https://kujo.robertdevore.com/evidence/","","","","","false","","","","","","1","58"
