phase,url,schema_types,json_ld_blocks,valid_json,visible_match,rich_result_eligible,issues,recommended_action,types,parse_valid,purpose_aligned,rich_result_eligibility
"after","https://kujo.robertdevore.com/","","","","","","","","Course","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/","","","","","","","","CollectionPage|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/what-is-kujo/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/setup-and-cli/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/bindings-and-mutability/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/values-and-truthiness/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/control-flow/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/functions/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/collections-and-pipelines/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/scope-and-capture/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/structs-and-enums/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/match-result-option/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/exceptions/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/optional-typing/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/async-and-await/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/bounded-concurrency/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
"after","https://kujo.robertdevore.com/course/modules/","","","","","","","","LearningResource|BreadcrumbList","true","true","Not established; Schema.org semantics are distinct from Google eligibility"
